Instance; HV(NSGA-II); HV(SPEA2); IGD(NSGA-II); IGD(SPEA2); 
a280_n1395_uncorr_01.txt; 0.84317695958055760563; 0.70661270526668562564; 0.00013278699859490622698; 0.0072031940684053451934; 
a280_n1395_uncorr_02.txt; 0.84426966743812448257; 0.7211573832973975362; 0.0003745266616378501107; 0.0060108433534873323759; 
a280_n1395_uncorr_03.txt; 0.84013763530478546837; 0.71425090583538353162; 6.6164665232990247106e-05; 0.0062168617326815497209; 
a280_n2790_uncorr_01.txt; 0.82529702597066656455; 0.66916572210455371739; 0.001330401082028319186; 0.010929559760925361064; 
a280_n2790_uncorr_02.txt; 0.83215860108591976907; 0.71962334595400090365; 9.8252671793222928911e-06; 0.0053794000240366974391; 
a280_n2790_uncorr_03.txt; 0.83015151146341947808; 0.69830495749372856196; 3.6192067236139123087e-05; 0.0069352974447599762334; 
a280_n279_uncorr_01.txt; 0.86343109875049151025; 0.75304303309931786004; 0.00019681100257442986942; 0.0052369470524488044572; 
a280_n279_uncorr_02.txt; 0.87680299299038910732; 0.77358502045090005161; 0.00064432824045522745383; 0.0059404129408839392856; 
a280_n279_uncorr_03.txt; 0.88413978136526860663; 0.75788419085656733021; 0.00044902526426617120651; 0.0059303935558838328373; 
a280_n837_uncorr_01.txt; 0.84374072194861859941; 0.71942224073427585296; 0.00021103308093777298736; 0.0064465128339177262679; 
a280_n837_uncorr_02.txt; 0.84616340482770169285; 0.72519674033039693839; 0.0001591462934909427683; 0.0054663131650549510315; 
a280_n837_uncorr_03.txt; 0.83793699196250526207; 0.72354971665005296533; 0.00031599542224090864566; 0.005298080378432368058; 
berlin52_n153_uncorr_01.txt; 0.8886223343468749869; 0.73877650159212226999; 0.00039202140020346004515; 0.0066250309003949743591; 
berlin52_n153_uncorr_02.txt; 0.8653521198401299408; 0.69029636179727937861; 0.00035894579536975627617; 0.0076243726294694599832; 
berlin52_n153_uncorr_03.txt; 0.90977426817214779309; 0.7688713617631307562; 0.00022621250273017234661; 0.0062179909506357008628; 
berlin52_n255_uncorr_01.txt; 0.89563344808774469907; 0.75370991644490126227; 0.00018553985546984662694; 0.0064818345501864030669; 
berlin52_n255_uncorr_02.txt; 0.88527317717589437684; 0.68750723016394454934; 0.00040423328703200698533; 0.0080286708680121169485; 
berlin52_n255_uncorr_03.txt; 0.88891580248986390433; 0.7444383197309274447; 0.00015729592267447220326; 0.0060985727980334683215; 
berlin52_n510_uncorr_01.txt; 0.85546719112849989308; 0.71672174941695743211; 0.00015498437466194786116; 0.0064514783652662192545; 
berlin52_n510_uncorr_02.txt; 0.87262765199946268346; 0.7126242286147621563; 8.0255582694683421361e-05; 0.0068961762772367781946; 
berlin52_n510_uncorr_03.txt; 0.87877073778229164436; 0.70114617291371217345; 1.7022415602546339127e-05; 0.0089960620030145772852; 
berlin52_n51_uncorr_01.txt; 0.89553394907230421396; 0.65802840110120686123; 0.0002293672153137549317; 0.015156825848922540409; 
berlin52_n51_uncorr_02.txt; 0.88345682308715367537; 0.76996642446858909459; 0.0002463114920072178248; 0.0073623828685107587516; 
berlin52_n51_uncorr_03.txt; 0.88766908998235061201; 0.69594659884222365154; 0.0002193033469397909262; 0.0088150839853201514579; 
