Travel Time; Profit
7544.3659000000006927; 0
13755.53574171884793; 34639
7545.917296425069253; 821
7545.1947281743005078; 769
7546.6660992279694256; 1471
7549.7373581721603841; 2117
7556.1238783557810166; 3425
7544.4465109770044364; 119
7545.9395685053104899; 867
7563.5041203601831512; 4474
7572.6182709736185643; 5432
7580.8677374822464117; 6030
7590.415658102731868; 6614
7639.032117841694344; 8939
7676.1215667564856631; 9956
7716.1868065691605807; 11372
7812.3775613489397074; 13823
7839.7445295524394169; 14385
7878.7764518922995194; 15366
7914.9627342553685594; 15916
7552.8455387657359097; 2845
7555.7701374584457881; 3269
7559.161054558793694; 3915
7564.9811848257550082; 4499
7570.8408589401060453; 5096
9944.8985547203774331; 30484
13033.984321081685266; 34466
13820.312781837315924; 34649
7552.4372834912001053; 2726
7547.3979117842409323; 1569
14758.568306007979118; 34775
7548.124185940218922; 1981
7555.8521335408522646; 3388
7565.0639850300767648; 4618
8372.562131685546774; 22409
13558.415400508414677; 34607
8257.380740643484387; 21170
8332.7906714958407974; 21928
8187.5040616951646371; 20412
8131.311080014153049; 19687
8461.8458691521409492; 23297
8374.1564753944512631; 22424
8076.1284608502755873; 18717
8148.3531771169555213; 20114
8229.9439741587884782; 20910
8164.8154963202287036; 20210
8029.2249597917889332; 17727
7556.5069916851834932; 3536
7556.9158092548368586; 3655
7546.5853280208639262; 1352
8288.9841692272602813; 21635
8365.4593429957531043; 22329
13749.891725526627852; 34614
13540.493135914417508; 34532
13544.369000562788642; 34557
8082.445585971426226; 18841
7988.5934542435952608; 17267
8338.8047349173139082; 21989
8383.0799836644127936; 22523
8037.432820083927254; 17996
7972.6573114545371936; 16840
8280.7821868487753818; 21587
8209.7400139888177364; 20829
8040.2146029581463154; 18237
7563.0943707457245182; 4355
7572.2073266125307782; 5313
7580.4555495625527328; 5911
7590.0022221005838219; 6495
8419.3692633259797731; 22840
14043.255485912672157; 34731
8142.4828030101107288; 19728
8034.8196729349856469; 17782
7548.4458870499138357; 1996
8121.7900504073295451; 19480
8066.6402707967963579; 18510
8100.62185086768568; 18995
8008.5639316904498628; 17479
7546.3469773584192808; 986
8111.8087292535656161; 19234
8016.2832826899566498; 17534
7558.9762146802877396; 3664
7570.9244548947181102; 5215
10481.479047900611477; 31847
10575.35551256762119; 32142
10636.801365879247896; 32204
10720.531431847564818; 32392
12154.823217970533733; 33958
7548.0432200769537303; 1862
7551.1755104915928314; 2508
7559.2435190136293386; 4034
7632.0777803845840026; 8481
7641.8488002609738032; 9065
7574.3242523526996592; 5673
7591.0263524063657314; 6716
7711.6941536861850182; 11347
7677.6352082325511219; 10046
7680.0576529402551387; 10509
7651.7509768830896064; 9262
7614.5177639799740064; 7699
7748.1734982392854363; 12209
7912.4393617262066982; 15808
7582.8233885214531256; 6254
7838.8961935927700324; 14233
7548.8536210605898304; 2115
7583.2357989416705095; 6373
7657.891061670320596; 9707
7748.6088539922920972; 12328
7867.9303576958864141; 15009
7635.3241656467344001; 8758
7672.3938496902292172; 9760
11688.687372774969845; 33611
7675.4284998837165404; 9805
12179.332298307035671; 34071
7581.4799929708406125; 6132
7612.9727564984441415; 7577
7550.9147916827050722; 2471
7554.1672616233599911; 3117
8269.5148492052139773; 21281
8307.3922059705600986; 21769
8349.2581944194571406; 22258
8389.282140947154403; 22746
8425.5369664492936863; 23228
8471.3171049404008954; 23644
8511.6416326210892294; 24126
8573.7025919059124135; 24460
8615.2598288073204458; 24942
8671.8253052552827285; 25358
8711.8644587919243349; 25752
8779.7306466171885404; 26052
8822.9581718260669732; 26446
8919.1872720770861633; 26690
8923.8203072772666928; 26981
8963.4381843617284176; 27344
9051.0199827299384197; 27675
9114.5384119662812736; 27982
9187.2790077519584884; 28272
9253.7694343939256214; 28579
9340.6601239814626751; 28873
9418.9298046691037598; 29233
9489.4716623212534614; 29321
9519.8902079360559583; 29564
9600.1463671235160291; 29801
9651.6933144845261268; 29926
9759.9567500206649129; 30257
9842.5740607964180526; 30464
9953.9973905132155778; 30719
10046.892537257188451; 31009
10159.277050780356149; 31266
10255.396063635369501; 31501
10292.295006880280198; 31610
10395.07099487967389; 31824
10492.873177953790218; 32046
10578.046779495083683; 32164
10643.053353314677224; 32296
10725.455562761762849; 32495
10814.225995638687891; 32600
10888.609982546277024; 32745
10976.27795537239399; 32931
11029.863926480784357; 33040
11160.620246454587686; 33181
11218.93416900111697; 33290
11393.034024565798973; 33299
11489.531158846462858; 33450
11586.73752222766052; 33594
11711.951252766502876; 33750
11853.150566155907654; 33886
11996.063656255160822; 33949
12295.69011287311514; 34105
12305.778114400460254; 34159
12455.031040858993947; 34258
12570.607594515679011; 34409
7882.1630712511559977; 15607
7848.4279829100032657; 14783
7827.3975035587682214; 14225
7642.7913689277120284; 9079
7624.6992262315307016; 8416
7916.1563365120082381; 16193
7691.7621845597050196; 11107
7721.7950602219843859; 11693
7762.4966293746610972; 12815
7591.9723428694878749; 6971
7949.2958539128831035; 16667
7652.6198549465816541; 9663
7794.9201590510583628; 13639
7681.7582249570068598; 10523
7983.0393557371407951; 17078
7567.4881457716619479; 4854
7678.6458827608585125; 10060
7787.1249300008239516; 13288
7614.9975964424902486; 7832
7601.5694233736039678; 7555
7579.0684863916803806; 5698
7551.2568921487772968; 2627
7565.0793958950926026; 4631
7569.5441080247710488; 4863
13163.825169140576691; 34516
11509.035974138472739; 33459
7688.6235512077983003; 10644
7840.3637140527052907; 14618
7727.9943402288681682; 11969
7754.5658845232774183; 12650
7916.0881379585425748; 16042
8024.839847516570444; 17589
7767.8328107344168529; 13077
11947.347031584142314; 33914
7792.3093407633004972; 13631
7936.7248059357743841; 16422
7870.9122447352865493; 15261
7705.0680954783938432; 11286
7815.3740898686928631; 14064
7970.7681833712322259; 16782
8056.4586107112363607; 18445
8116.6758514264402038; 19459
