Travel Time; Profit
2940.1703064068437925; 112467
3021.4881722185523358; 124898
2968.6711077467175528; 117027
2853.4360959725627254; 97292
3097.6100048995922407; 134646
3052.9874313775353585; 129547
2587.9299300000002404; 0
6268.9094133284079362; 239617
6220.2598781767892433; 239295
6079.6297956653279471; 238049
2724.6164556945091135; 65940
6036.3521389875668319; 237727
5972.3076201912836041; 237443
2626.6921699267804797; 33672
2846.7088600224287802; 96294
2944.5250953041131652; 114286
2730.3741607612050757; 68090
2659.1073914743628848; 47362
2876.3268458418374394; 102504
6049.9095172679390089; 237901
6159.6970928694363465; 238807
2724.301377002414938; 65934
3047.2819692008838501; 128306
4057.8849945442429998; 201672
2948.0542643235912692; 114962
2857.9642896748514431; 97924
3611.6462648045985588; 180613
2921.7484368402865584; 111128
2894.0481896817941561; 107035
3696.2150714969275214; 184685
3471.9524203780238167; 171146
3171.7500483536596221; 142316
2833.3125285678106593; 93546
2587.962721625490758; 1580
4022.793745544623107; 201251
3660.9036297666016253; 183850
3504.9080920250894451; 173075
3114.3095410499850004; 137713
3543.5553255559407262; 175704
2866.6650665443798971; 100681
3163.7631016296959388; 141688
3718.6002989757848809; 186369
3580.3029353045139942; 178842
3182.7181174236807237; 146525
3618.9239851855027155; 181221
3291.9714360771081374; 156294
3049.7434724107656621; 129077
3813.1877672692053238; 191367
3344.5410531540378543; 160753
3024.4078752352006632; 125957
2801.9069421391795913; 86873
3259.688286578997122; 153665
2788.6238005432592217; 84354
3861.4466559250104183; 194943
3212.9939543819500614; 148644
4246.1926050599122391; 209192
3326.4128105089630481; 158844
4160.6695679955200831; 205605
3846.9939236378859277; 191698
4118.9458692903845076; 205167
3945.4111124924488649; 196638
2589.8052886301588842; 4619
2889.8706483424866747; 104858
3032.9984255562048929; 127095
2809.1926873270681426; 89760
2836.7393734227330242; 95024
3196.6915882056032387; 147294
3098.7174171763904269; 135651
6021.2045979685017301; 237649
3605.2738952823638101; 179009
2872.3661608033480661; 101462
3431.4535831498105836; 168214
2857.055609592746805; 97830
3649.1575256657479258; 181517
2796.6269358299086889; 86053
2920.5493697141937446; 109772
3393.7124571006929727; 165430
2991.3884175368693832; 121721
3005.8144330561108291; 123470
3132.3933690913490864; 140043
3460.3089519621648833; 170428
3357.5949760937173778; 161732
3739.5814649907488274; 186727
3709.1981857204777953; 184793
3173.3047115775107159; 143880
2908.212339517194323; 108023
3326.3750435024817307; 158835
3123.6597026567346802; 139046
3371.4949462551903707; 163681
3315.109677900636143; 157838
6109.7655588326606448; 238479
5953.9086318276604288; 237298
2589.7433553021883199; 3862
2813.1431021269381745; 90858
2665.8780475333510367; 50163
2788.16698982875414; 83823
2590.2788094013812952; 5918
2622.804877253390714; 33257
2637.9490696240236502; 39136
2590.0503734284025086; 5297
2594.5251803016581107; 10212
2591.8420477618301447; 8361
2589.9731078716022239; 4845
2587.9584609443772933; 823
2697.8529688340809116; 59591
2664.1095765978238887; 50089
