Pareto (Travel Time; Profit; IsValid)

7544.3659000000006927 ; 0; 0000000
7549.510150061355489 ; 867; 0000000
9082.7927758708156034 ; 7868; 0000000
7946.664138021384133 ; 4259; 0000000
13165.686661478737733 ; 11986; 0000000
14256.898189394407382 ; 12694; 0000000
8748.5364060971987783 ; 6738; 0000000
8813.7548804867601575 ; 7165; 0000000
7660.5718443791884056 ; 1856; 0000000
7544.6158459245752965 ; 119; 0000000
7745.0373794950364754 ; 3193; 0000000
8118.7685087272557212 ; 5311; 0000000
9113.6962972014480329 ; 8317; 0000000
8311.9285046734548814 ; 6286; 0000000
9394.1731599109662056 ; 9198; 0000000
8941.2052362215254107 ; 7258; 0000000
8654.5303365025501989 ; 6428; 0000000
10867.79505298559161 ; 11848; 0000000
9796.823841901974447 ; 10547; 0000000
9993.9949681942780444 ; 10878; 0000000
7769.9807864183903803 ; 3772; 0000000
7608.0102173377545114 ; 1607; 0000000
10547.606155071158355 ; 11012; 0000000
7672.5305188691063449 ; 2780; 0000000
7672.811121561921027 ; 2899; 0000000
